experiment_id,dataset,seed,rank,eta,observable_policy,accuracy,macro_f1,runtime_seconds,entanglement_entropy_proxy,did_interaction_delta,pareto_utility_J_eta
EXP_SIM_2_ENTANGLE_OBS_DID,FASHION_MNIST_PROXY,11,48,0.5,greedy_operator_optimized,0.8527777777777777,0.8536172966433216,0.05266284942626953,0.4,,
EXP_SIM_2_ENTANGLE_OBS_DID,FASHION_MNIST_PROXY,11,48,0.75,fixed_pauli_subset,0.8472222222222222,0.8484672880765848,0.0986790657043457,0.6000000000000001,,
EXP_SIM_2_ENTANGLE_OBS_DID,FASHION_MNIST_PROXY,11,48,0.75,greedy_operator_optimized,0.8444444444444444,0.8455528623432972,0.10865426063537598,0.6000000000000001,,
EXP_SIM_2_ENTANGLE_OBS_DID,FASHION_MNIST_PROXY,11,48,1.0,fixed_pauli_subset,0.825,0.8273322112881207,0.04661917686462402,0.8,,
EXP_SIM_2_ENTANGLE_OBS_DID,FASHION_MNIST_PROXY,11,48,1.0,greedy_operator_optimized,0.8055555555555556,0.80849215025104,0.06671333312988281,0.8,,
EXP_SIM_2_ENTANGLE_OBS_DID,FASHION_MNIST_PROXY,11,48,0.0,did_summary,,,,0.0,0.0,0.8149464003245036
EXP_SIM_2_ENTANGLE_OBS_DID,FASHION_MNIST_PROXY,11,48,0.25,did_summary,,,,0.2,0.01388888888888884,0.851005917655097
EXP_SIM_2_ENTANGLE_OBS_DID,FASHION_MNIST_PROXY,11,48,0.5,did_summary,,,,0.4,0.01388888888888884,0.8514250575171576
EXP_SIM_2_ENTANGLE_OBS_DID,FASHION_MNIST_PROXY,11,48,0.75,did_summary,,,,0.6000000000000001,0.005555555555555536,0.8423711111810472
EXP_SIM_2_ENTANGLE_OBS_DID,FASHION_MNIST_PROXY,11,48,1.0,did_summary,,,,0.8,-0.011111111111111072,0.8044222304556106
EXP_SIM_2_ENTANGLE_OBS_DID,FASHION_MNIST_PROXY,19,16,0.0,fixed_pauli_subset,0.9583333333333334,0.9585449976738806,0.03726553916931152,0.0,,
EXP_SIM_2_ENTANGLE_OBS_DID,FASHION_MNIST_PROXY,19,16,0.0,greedy_operator_optimized,0.9583333333333334,0.9585449976738806,0.048029422760009766,0.0,,
EXP_SIM_2_ENTANGLE_OBS_DID,FASHION_MNIST_PROXY,19,16,0.25,fixed_pauli_subset,0.9472222222222222,0.9466656816718556,0.024927616119384766,0.2,,
EXP_SIM_2_ENTANGLE_OBS_DID,FASHION_MNIST_PROXY,19,16,0.25,greedy_operator_optimized,0.9472222222222222,0.946704185929538,0.029849529266357422,0.2,,
EXP_SIM_2_ENTANGLE_OBS_DID,FASHION_MNIST_PROXY,19,16,0.5,fixed_pauli_subset,0.9472222222222222,0.9466656816718556,0.024857282638549805,0.4,,
EXP_SIM_2_ENTANGLE_OBS_DID,FASHION_MNIST_PROXY,19,16,0.5,greedy_operator_optimized,0.9472222222222222,0.946704185929538,0.025902509689331055,0.4,,
EXP_SIM_2_ENTANGLE_OBS_DID,FASHION_MNIST_PROXY,19,16,0.75,fixed_pauli_subset,0.9361111111111111,0.9359914289473382,0.029414653778076172,0.6000000000000001,,
EXP_SIM_2_ENTANGLE_OBS_DID,FASHION_MNIST_PROXY,19,16,0.75,greedy_operator_optimized,0.9361111111111111,0.9359914289473382,0.028044462203979492,0.6000000000000001,,
